2dmatpedia id,"2dmatpedia band structure (BG, VBM, CBM)","preds band structure (BG, Direc BG, VBM, CBM)"
2dm-1,"[0.0, nan, nan]","[0.6662436723709106, 0.8004662990570068, -6.104700565338135, -5.361283302307129]"
2dm-2,"[0.0, nan, nan]","[0.12439286708831787, 0.1283702850341797, -3.987854480743408, -3.844010591506958]"
2dm-3,"[0.9814000129699707, -3.635999917984009, -2.654599905014038]","[1.1048331260681152, 1.1834156513214111, -6.78235387802124, -5.670553207397461]"
2dm-4,"[0.0, nan, nan]","[0.09315085411071777, 0.14809370040893555, -5.152180194854736, -5.018280506134033]"
2dm-6367,"[0.0, nan, nan]","[0.6298195123672485, 0.8686349391937256, -5.715912818908691, -5.042328834533691]"
2dm-6,"[1.1619000434875488, -2.1231000423431396, -0.9611999988555908]","[2.2657620906829834, 2.2403032779693604, -5.341388702392578, -3.0721452236175537]"
2dm-7,"[0.0, nan, nan]","[0.03360116481781006, 0.07365989685058594, -4.281528472900391, -4.215550899505615]"
2dm-8,"[0.0, nan, nan]","[0.09875953197479248, 0.20280373096466064, -4.715334415435791, -4.561544418334961]"
2dm-9,"[0.14990007877349854, -4.621300220489502, -4.471399784088135]","[1.092821478843689, 1.2057358026504517, -6.670854091644287, -5.588498592376709]"
2dm-10,"[0.20859992504119873, -4.603899955749512, -4.395299911499023]","[1.7066426277160645, 2.0795559883117676, -7.026864051818848, -5.333250045776367]"
2dm-11,"[2.9398000240325928, -3.6249001026153564, -0.6851000785827637]","[4.752893447875977, 4.789453506469727, -6.26029109954834, -1.5066237449645996]"
2dm-12,"[0.0, nan, nan]","[0.41507279872894287, 0.5864741802215576, -6.162900924682617, -5.679226398468018]"
2dm-13,"[1.2990000247955322, -6.1265997886657715, -4.827600002288818]","[2.778522491455078, 3.0772898197174072, -8.606409072875977, -5.840194225311279]"
2dm-14,"[0.0, nan, nan]","[-0.0016560554504394531, -0.00784158706665039, -4.412043571472168, -4.409311771392822]"
2dm-15,"[2.652600049972534, -4.415999889373779, -1.7633999586105347]","[3.537975788116455, 3.8279712200164795, -6.608399868011475, -3.0678343772888184]"
2dm-16,"[0.0, nan, nan]","[0.35200273990631104, 0.5433080196380615, -5.292909145355225, -4.897145748138428]"
2dm-17,"[0.8580999970436096, -2.188699960708618, -1.3306000232696533]","[1.327046275138855, 1.3987809419631958, -4.386308193206787, -3.0683481693267822]"
2dm-18,"[0.0, nan, nan]","[0.005660295486450195, 0.00357818603515625, -4.769975662231445, -4.724887847900391]"
2dm-19,"[0.8628000020980835, -2.1698999404907227, -1.3071000576019287]","[1.4096274375915527, 1.4296841621398926, -4.706517219543457, -3.3000497817993164]"
2dm-20,"[2.20989990234375, -3.5808000564575195, -1.37090003490448]","[3.261847734451294, 3.454874038696289, -6.423346519470215, -3.167430877685547]"
2dm-21,"[0.0, nan, nan]","[0.1916898488998413, 0.2366199493408203, -4.280642986297607, -4.0671844482421875]"
2dm-22,"[1.9866000413894653, -2.9138998985290527, -0.927299976348877]","[3.886504650115967, 4.145884037017822, -5.883884906768799, -1.979111671447754]"
2dm-23,"[0.0, nan, nan]","[0.050810933113098145, 0.06035923957824707, -4.272523880004883, -4.145872116088867]"
2dm-24,"[3.0243000984191895, -5.538700103759766, -2.514400005340576]","[3.9304332733154297, 3.831787109375, -7.678571701049805, -3.758151054382324]"
2dm-25,"[0.0, nan, nan]","[0.4855654239654541, 0.5020387172698975, -5.792235374450684, -5.27429723739624]"
2dm-26,"[0.3896999955177307, -2.8993000984191895, -2.5095999240875244]","[1.3015633821487427, 1.2850313186645508, -5.0150980949401855, -3.7111525535583496]"
2dm-27,"[0.0, nan, nan]","[0.5740481615066528, 0.5716441869735718, -5.132155418395996, -4.528656959533691]"
2dm-28,"[0.0, nan, nan]","[0.05057394504547119, 0.18119287490844727, -5.372227668762207, -5.333923816680908]"
2dm-29,"[1.8021998405456543, -4.522799968719482, -2.720599889755249]","[2.826234817504883, 2.826355457305908, -7.1952362060546875, -4.36077880859375]"
2dm-30,"[0.16220003366470337, -0.7344999313354492, -0.5722999572753906]","[0.6573636531829834, 0.730034351348877, -4.608821868896484, -3.948086738586426]"
2dm-31,"[8.42020034790039, -8.946999549865723, -0.5267999172210693]","[10.20621395111084, 10.314684867858887, -12.038089752197266, -1.8433148860931396]"
2dm-32,"[1.0678999423980713, -3.6463000774383545, -2.578399896621704]","[2.3843917846679688, 2.399624824523926, -6.053163051605225, -3.6600470542907715]"
2dm-33,"[5.186600208282471, -6.195899963378906, -1.0092999935150146]","[7.236279010772705, 7.28529167175293, -8.7424898147583, -1.4665899276733398]"
2dm-34,"[0.3805999755859375, -2.916100025177002, -2.5355000495910645]","[0.8998537063598633, 0.893133282661438, -4.8447136878967285, -3.9200398921966553]"
2dm-35,"[1.5772000551223755, -4.496200084686279, -2.9189999103546143]","[2.3651978969573975, 2.9131107330322266, -6.155699729919434, -3.792431354522705]"
2dm-36,"[0.0, nan, nan]","[1.0668275356292725, 1.1956796646118164, -6.001809597015381, -4.934226989746094]"
2dm-37,"[1.302299976348877, -5.46750020980835, -4.165200233459473]","[2.6255416870117188, 2.8588757514953613, -7.789377212524414, -5.184142589569092]"
2dm-38,"[0.0, nan, nan]","[0.020937800407409668, 0.04393291473388672, -4.924443244934082, -4.948843955993652]"
2dm-39,"[0.9200000166893005, -1.965399980545044, -1.0454000234603882]","[1.7503098249435425, 1.8065507411956787, -4.891685485839844, -3.1243786811828613]"
2dm-40,"[0.0, nan, nan]","[0.028534650802612305, 0.03153109550476074, -4.880681991577148, -4.764922618865967]"
2dm-41,"[0.6176999807357788, -2.847100019454956, -2.2293999195098877]","[1.824843406677246, 1.931736946105957, -5.508522033691406, -3.6996352672576904]"
2dm-42,"[0.0, nan, nan]","[0.08860957622528076, 0.0709846019744873, -4.051401138305664, -3.896563768386841]"
2dm-43,"[9.449399948120117, -9.049599647521973, 0.39980006217956543]","[10.813582420349121, 11.087455749511719, -12.146364212036133, -1.365856647491455]"
2dm-6368,"[0.0, nan, nan]","[1.7143362760543823, 1.7179162502288818, -5.533760070800781, -3.823214292526245]"
2dm-45,"[0.6794999837875366, -0.8468000888824463, -0.16729998588562012]","[0.833470344543457, 0.8144123554229736, -3.203263282775879, -2.3813750743865967]"
2dm-46,"[0.0, nan, nan]","[0.18757939338684082, 0.1771690845489502, -4.361663341522217, -4.07442045211792]"
2dm-47,"[0.0, nan, nan]","[0.05329084396362305, 0.0747215747833252, -4.243535041809082, -4.153911590576172]"
2dm-48,"[2.137700080871582, -4.409299850463867, -2.2716000080108643]","[3.1847891807556152, 3.4723756313323975, -6.66245174407959, -3.4788360595703125]"
2dm-49,"[0.0, nan, nan]","[0.03860759735107422, 0.1331937313079834, -5.24186897277832, -5.17365026473999]"
2dm-50,"[0.0, nan, nan]","[0.05899167060852051, 0.07774567604064941, -3.6794211864471436, -3.5626461505889893]"
2dm-51,"[0.0, nan, nan]","[0.07632291316986084, 0.0801398754119873, -4.830390930175781, -4.721750736236572]"
2dm-52,"[2.1468000411987305, -4.328700065612793, -2.1819000244140625]","[3.514451265335083, 3.6717982292175293, -7.141845226287842, -3.6192710399627686]"
2dm-53,"[0.0, nan, nan]","[0.044068336486816406, 0.07415008544921875, -4.3395490646362305, -4.2504777908325195]"
