jarvis id,jarvis band structure (BG),"preds band structure (BG, Direc BG, VBM, CBM)"
JVASP-14441,[0.0],"[0.5194433927536011, 0.5951141119003296, -6.662890911102295, -5.938939094543457]"
JVASP-76308,[0.0],"[0.05575394630432129, 0.14509344100952148, -4.179111480712891, -4.117796421051025]"
JVASP-76515,[2.5480000972747803],"[2.1897530555725098, 2.3005740642547607, -6.848761558532715, -4.6615447998046875]"
JVASP-13526,[4.066999912261963],"[5.416109085083008, 5.48304557800293, -8.232210159301758, -2.811199426651001]"
JVASP-27901,[0.0],"[0.17959535121917725, 0.26174700260162354, -4.420226573944092, -4.2518815994262695]"
JVASP-76516,[0.0],"[0.037795066833496094, 0.05017805099487305, -4.318482875823975, -4.211225986480713]"
JVASP-76309,[0.5590000152587891],"[1.190637230873108, 1.2854259014129639, -5.665994644165039, -4.480259895324707]"
JVASP-76525,[0.4429999589920044],"[0.8336703777313232, 0.8560245037078857, -4.098282337188721, -3.2748093605041504]"
JVASP-6667,[0.0],"[0.0031151771545410156, 0.0034019947052001953, -4.38454532623291, -4.347596168518066]"
JVASP-14431,[0.0],"[0.002166748046875, 0.00868988037109375, -4.565115928649902, -4.577847003936768]"
JVASP-676,[0.0],"[0.020712852478027344, 0.06679940223693848, -4.389147758483887, -4.36297082901001]"
JVASP-76312,[1.6649999618530273],"[3.292358875274658, 3.330010414123535, -6.816392421722412, -3.533106803894043]"
JVASP-76562,[2.0309998989105225],"[3.827378749847412, 3.9703409671783447, -8.36716079711914, -4.543241024017334]"
JVASP-60235,[0.8479999899864197],"[1.4004499912261963, 1.511458158493042, -5.235191345214844, -3.8325064182281494]"
JVASP-76567,[1.277999997138977],"[2.937009334564209, 3.061337471008301, -6.533090591430664, -3.593067169189453]"
JVASP-60389,[0.4049999713897705],"[0.8171349763870239, 1.4538459777832031, -4.950981140136719, -4.1384735107421875]"
JVASP-60776,[0.0],"[0.08575582504272461, 0.09162640571594238, -4.410584449768066, -4.261717796325684]"
JVASP-76576,[0.0],"[0.09248292446136475, 0.13772368431091309, -4.660825729370117, -4.524885177612305]"
JVASP-27912,[0.0],"[0.3648207187652588, 0.41436755657196045, -6.691490650177002, -6.069155216217041]"
JVASP-76581,[2.1570000648498535],"[2.3303637504577637, 2.61879563331604, -6.840274810791016, -4.509754657745361]"
JVASP-60477,[0.01100003719329834],"[0.4182649850845337, 0.4651765823364258, -6.050968647003174, -5.612491607666016]"
JVASP-60479,[0.0],"[0.27941691875457764, 0.3382631540298462, -4.7839155197143555, -4.450721263885498]"
JVASP-76319,[2.5220000743865967],"[5.508060455322266, 5.518530368804932, -8.81271743774414, -3.3047094345092773]"
JVASP-60480,[0.0],"[0.12814557552337646, 0.14399123191833496, -4.9205322265625, -4.709287166595459]"
JVASP-60543,[0.902999997138977],"[1.5688512325286865, 1.6867870092391968, -5.924449920654297, -4.3517022132873535]"
JVASP-76583,[0.0],"[0.11310088634490967, 0.16459310054779053, -5.375599384307861, -5.24722957611084]"
JVASP-76322,[0.0],"[0.1147845983505249, 0.1627955436706543, -4.6769537925720215, -4.565580368041992]"
JVASP-60236,[3.1070001125335693],"[4.437930107116699, 4.546849250793457, -9.362678527832031, -4.912780284881592]"
JVASP-76584,[0.001999974250793457],"[0.28975987434387207, 0.33907365798950195, -5.375336170196533, -4.9746856689453125]"
JVASP-76334,[0.0],"[0.02641117572784424, 0.0701439380645752, -5.186481475830078, -5.144448280334473]"
